date,open,high,low,close,volume
2024-01-01,100.0,101.0,99.0,100.0,100000
2024-01-02,101.25,102.26,99.99,101.0,101200
2024-01-03,102.24,103.26,100.94,101.96,102400
2024-01-04,102.86,103.89,101.79,102.82,103600
2024-01-05,103.32,104.6,102.29,103.56,104800
2024-01-08,104.91,105.96,103.65,104.7,108400
2024-01-09,105.01,106.06,103.65,104.7,109600
2024-01-10,104.64,105.69,103.46,104.51,110800
2024-01-11,104.0,105.21,102.96,104.17,112000
2024-01-12,103.4,104.75,102.37,103.71,113200
2024-01-15,102.28,103.3,100.96,101.98,116800
2024-01-16,101.64,102.66,100.43,101.44,118000
2024-01-17,100.91,102.01,99.9,101.0,119200
2024-01-18,100.38,101.68,99.38,100.67,120400
2024-01-19,100.27,101.5,99.27,100.5,121600
2024-01-22,101.24,102.25,99.98,100.99,125200
2024-01-23,101.46,102.47,100.45,101.46,126400
2024-01-24,101.79,103.07,100.77,102.05,127600
2024-01-25,102.44,103.75,101.42,102.72,128800
2024-01-26,103.39,104.46,102.36,103.43,130000
2024-01-29,105.42,106.47,104.28,105.33,133600
2024-01-30,105.55,106.82,104.49,105.76,134800
2024-01-31,105.71,107.08,104.65,106.02,136000
2024-02-01,105.97,107.16,104.91,106.1,137200
2024-02-02,106.17,107.23,104.93,105.99,138400
2024-02-05,104.46,105.64,103.42,104.59,142000
2024-02-06,103.54,104.89,102.5,103.85,143200
2024-02-07,102.84,104.07,101.81,103.04,144400
2024-02-08,102.29,103.31,101.18,102.2,145600
2024-02-09,101.67,102.69,100.37,101.38,146800
2024-02-12,99.2,100.46,98.21,99.47,150400
2024-02-13,98.89,100.13,97.9,99.14,151600
2024-02-14,99.02,100.01,98.02,99.01,152800
2024-02-15,99.32,100.31,98.08,99.07,154000
2024-02-16,99.6,100.6,98.34,99.33,155200
2024-02-19,100.76,102.06,99.75,101.05,158800
2024-02-20,101.75,102.85,100.73,101.83,160000
2024-02-21,102.84,103.87,101.6,102.63,161200
2024-02-22,103.73,104.77,102.39,103.42,162400
2024-02-23,104.27,105.31,103.11,104.15,163600
2024-02-26,105.42,106.65,104.37,105.59,167200
2024-02-27,105.9,106.96,104.7,105.76,168400
2024-02-28,106.06,107.12,104.69,105.75,169600
2024-02-29,105.78,106.84,104.52,105.58,170800
2024-03-01,105.18,106.33,104.13,105.28,172000
2024-03-04,103.91,104.95,102.82,103.86,175600
2024-03-05,103.65,104.69,102.33,103.36,176800
2024-03-06,103.18,104.21,101.89,102.92,178000
2024-03-07,102.58,103.62,101.55,102.59,179200
2024-03-08,102.13,103.41,101.11,102.39,180400
2024-03-11,103.07,104.1,101.8,102.83,184000
2024-03-12,103.64,104.68,102.32,103.35,185200
2024-03-13,104.11,105.15,102.99,104.03,186400
2024-03-14,104.63,105.89,103.58,104.84,187600
2024-03-15,105.44,106.81,104.39,105.75,188800
2024-03-18,108.97,110.06,107.55,108.64,192400
2024-03-19,109.67,110.77,108.41,109.5,193600
2024-03-20,110.09,111.34,108.99,110.24,194800
2024-03-21,110.48,111.92,109.38,110.81,196000
2024-03-22,110.99,112.31,109.88,111.2,197200
2024-03-25,111.42,112.53,110.07,111.18,200800
2024-03-26,110.75,111.92,109.64,110.81,202000
2024-03-27,109.98,111.39,108.88,110.29,203200
2024-03-28,109.4,110.77,108.31,109.67,204400
2024-03-29,109.0,110.09,107.9,108.99,205600
